story,label,breakpoint,id,fold
"['Tom took out the cooked meat.', 'Tom took out the cooked potato.', 'Tom put the meat and potato in the stew.', 'Tom ate all the stew with a spoon.', 'Tom washed his spoon.']",1,-1,train_0,5
"['John went to the bathroom.', 'John decided to take a bath in the bathtub.', 'John filled the tub with water and stepped in.', 'John used the hair brush while in the tub.', 'John got out of the tub and wrapped himself with towel.']",1,-1,train_1,3
"['Ann drank from her water bottle.', 'Ann decided to go to a frisbee game.', 'Ann broke her skateboard while riding it.', 'Ann put the broken skateboard in her bag.', 'Ann used her skateboard to jump to a higher seat in the bleachers.']",0,4,train_2,4
"['Tom put on his shoes.', 'Tom packed a suitcase.', 'Tom shredded his gloves.', 'Tom put his hat on.', 'Tom put on his gloves.']",0,4,train_3,3
"['Ann sat down on the couch.', 'Ann reached for the cellphone on the table.', 'Ann knocked her coffee off the table.', 'Ann got some cleaning supplies to clean up the mess.', 'Ann drank her coffee.']",0,4,train_4,6
"['John grabbed the ladder and put it in his truck.', 'John put a drill and rope in the bucket and also put that in this truck.', ""John drove the bicycle to the neighbor's house."", 'John picked up a few other things and put them near the bucket in the truck.', ""John drove his truck to a neighbor's house to help them repair their storm-damaged shed.""]",0,3,train_5,2
"['Mary ate a donut and milk for breakfast.', 'Mary shared and ate an orange with her friend for lunch.', 'Mary ate apple pie after dinner.', 'Mary baked a cake.', 'Mary sliced the orange.']",0,4,train_6,9
"['Tom spilled toothpaste on his socks.', 'Tom put the socks in the sink to soak.', 'Tom added detergent to the socks.', 'Tom washed the wet socks in the sink.', 'Tom put the socks in the dryer.']",1,-1,train_7,0
"['Mary went to the fridge.', 'Mary took out a bowl from the fridge.', 'The bowl had a cucumber and a donut in it.', 'Mary put the cucumber on the counter.', 'Mary ate the donut.']",1,-1,train_8,7
"['Lee was hungry.', 'Lee walked to the refrigerator.', 'The refrigerator was completely empty.', 'Lee ate a turkey sandwich.', 'Lee also had chips.']",0,3,train_9,7
"['Mary plugged in the vacuum.', 'Mary turned on the vacuum.', 'Mary vacuumed the living room and kitchen because it was dirty.', 'Mary dusted the bookshelves.', 'Mary packed up the unused blankets in a box to take to Goodwill.']",1,-1,train_10,1
"['Ann dumped everything from the duffel bag.', 'Ann kicked away the tennis ball.', 'Ann threw the water bottle into the trash.', 'Ann popped the volleyball.', 'Ann threw the volleyball over the fence.']",1,-1,train_11,2
"['Tom beat the egg before scrambling it.', 'Tom peeled the orange.', 'Tom scooped some ice cream into a bowl.', 'Tom sliced the orange.', 'Tom added orange into the bowl.']",1,-1,train_12,5
"['Tom put on his eyeglasses and began trying to fix a necklace.', 'Tom heard the phone ring and went to answer it.', 'Tom turned off the radio to hear better and sat down to talk to his brother.', 'Tom heard a knock on the door and asked his brother to hold so he could answer it.', 'Tom signed for a package and shut the door.']",1,-1,train_13,4
"['Mary sat on sofa in the living room.', 'Mary switched on the TV.', 'Mary switched to different channels.', 'Mary bring a cup of cashews to eat.', 'Mary eating cashews while watching TV.']",1,-1,train_14,8
"['John went to the sink.', 'John turned on the faucet.', 'John used a soap bar to wash his hands, but they were still greasy.', 'John went to get some detergent.', 'John used the detergent to clean his hands.']",1,-1,train_15,3
"['Tom entered the living room.', 'Tom closed the door from inside.', 'Tom played music on the radio.', 'Tom changed battery of the clock.', 'Tom switched on the radio.']",0,4,train_16,2
"['Mary plugged in the vacuum.', 'Mary turned on the vacuum.', 'Mary vacuumed the living room and kitchen because it was dirty.', 'Mary looked at the dirty living room floor.', 'Mary packed up the unused blankets in a box to take to Goodwill.']",0,3,train_17,0
"['Ann took a bowl out of the kitchen cabinet.', 'Ann dropped the bowl and it broke into pieces.', 'Ann took the carton of chocolate chip ice cream out of the freezer and set it on the counter.', 'Ann scooped four big scoops of chocolate chip ice cream into her bowl.', 'Ann put the carton of ice cream back in the freezer and the ice cream scoop into the sink.']",0,3,train_18,4
"['Tom took the skirt out of the sink.', 'Tom stepped into the shower.', 'Tom picked up the shampoo bottle.', 'Tom used the shampoo to wash his hair.', 'Tom added detergent to the skirt in the sink.']",0,4,train_19,6
"['Ann searched the Internet to look for a new car.', 'Ann took notes in her notebook about what her options were.', 'Ann cut out pictures of her favorite cars from a magazine.', 'Ann used her keyboard to type her favorite names of cars into websites.', 'Ann found the car of her dreams using her desktop computer.']",1,-1,train_20,9
"['Ann opened up her box.', 'Ann grabbed the hammer.', 'Ann hammered on the bicycle.', 'Ann broke the bicycle.', 'Ann put the hammer back in the box.']",1,-1,train_21,6
"['Tom put the ingredients on the counter.', 'Tom preheated the oven.', 'Tom smashed the glass on the floor.', 'Tom cut the potato into slices.', 'Tom cooked the potato in the oven.']",1,-1,train_22,8
"['Tom took out the potato.', 'Tom turned on the oven.', 'Tom put the butter in the oven.', 'Tom put the potato in the oven.', 'Tom put the butter in the microwave.']",0,4,train_23,5
"['Mary switched the laptop computer on.', 'Mary connected the printer to the laptop computer.', 'The printer had no ink.', 'Mary printed out several pages.', 'Mary used the pencil to mark on the printed papers.']",0,3,train_24,3
"['Mary sat at her desktop computer.', 'Mary turned on the computer.', 'Mary wrote an article on the computer.', 'Mary ran out of ink for the printer.', 'Mary went out to buy printer ink.']",1,-1,train_25,6
"['Tom took the potato out of the oven.', 'Tom mashed the potato.', 'Tom melted butter in the microwave.', 'Tom cut the butter into cubes.', 'Tom ate the mashed potato with a spoon.']",0,3,train_26,1
